ボツワナ,ジンバブエ,ナミビア,ボツワナ,南アフリカ,,,,,,,,,,
ルワンダ,ウガンダ,コンゴ民主共和国,タンザニア,ブルンジ,,,,,,,,,,
アルバニア,ギリシャ,コソボ,マケドニア,モンテネグロ,,,,,,,,,,
ギリシャ,アルバニア,トルコ,ブルガリア,マケドニア,,,,,,,,,,
クロアチア,スロベニア,セルビア,ハンガリー,ボスニア＝ヘルツェゴビナ,,,,,,,,,,
コソボ,アルバニア,セルビア,マケドニア,モンテネグロ,,,,,,,,,,
スロベニア,イタリア,オーストリア,クロアチア,ハンガリー,,,,,,,,,,
チェコ,オーストリア,スロバキア,ドイツ,ポーランド,,,,,,,,,,
ベルギー,オランダ,ドイツ,フランス,ルクセンブルク,,,,,,,,,,
ラトビア,エストニア,ベラルーシ,リトアニア,ロシア,,,,,,,,,,
リトアニア,ベラルーシ,ポーランド,ラトビア,ロシア,,,,,,,,,,
グアテマラ,エルサルバドル,ベリーズ,ホンジュラス,メキシコ,,,,,,,,,,
アラブ首長国連邦,オマーン,カタール,サウジアラビア,,,,,,,,,,,
インドネシア,東ティモール,パプアニューギニア,マレーシア,,,,,,,,,,,
オマーン,アラブ首長国連邦,イエメン,サウジアラビア,,,,,,,,,,,
カンボジア,タイ,ベトナム,ラオス,,,,,,,,,,,
朝鮮民主主義人民共和国,大韓民国,中華人民共和国,ロシア,,,,,,,,,,,
パキスタン,アフガニスタン,インド,イラン,,,,,,,,,,,
ベトナム,カンボジア,中華人民共和国,ラオス,,,,,,,,,,,
レバノン,イスラエル,シリア,ヨルダン,,,,,,,,,,,
エジプト,イスラエル,スーダン,リビア,,,,,,,,,,,
エリトリア,エチオピア,ジブチ,スーダン,,,,,,,,,,,
ガーナ,コートジボワール,トーゴ,ブルキナファソ,,,,,,,,,,,
ガボン,カメルーン,コンゴ共和国,赤道ギニア,,,,,,,,,,,
ジブチ,エチオピア,エリトリア,ソマリア,,,,,,,,,,,
ソマリア,エチオピア,ケニア,ジブチ,,,,,,,,,,,
トーゴ,ガーナ,ブルキナファソ,ベナン,,,,,,,,,,,
ブルンジ,コンゴ民主共和国,タンザニア,ルワンダ,,,,,,,,,,,
マラウイ,ザンビア,タンザニア,モザンビーク,,,,,,,,,,,
モーリタニア,アルジェリア,セネガル,マリ,,,,,,,,,,,
リベリア,ギニア,コートジボワール,シエラレオネ,,,,,,,,,,,
イギリス,アイルランド,キプロス,スペイン,,,,,,,,,,,
ノルウェー,スウェーデン,フィンランド,ロシア,,,,,,,,,,,
フィンランド,スウェーデン,ノルウェー,ロシア,,,,,,,,,,,
ボスニア＝ヘルツェゴビナ,クロアチア,セルビア,モンテネグロ,,,,,,,,,,,
モンテネグロ,アルバニア,セルビア,ボスニア＝ヘルツェゴビナ,,,,,,,,,,,
ルクセンブルク,ドイツ,フランス,ベルギー,,,,,,,,,,,
ホンジュラス,エルサルバドル,グアテマラ,ニカラグア,,,,,,,,,,,
メキシコ,アメリカ,グアテマラ,ベリーズ,,,,,,,,,,,
ガイアナ,スリナム,ブラジル,ベネズエラ,,,,,,,,,,,
スリナム,ガイアナ,フランス,ブラジル,,,,,,,,,,,
チリ,アルゼンチン,ペルー,ボリビア,,,,,,,,,,,
パラグアイ,アルゼンチン,ブラジル,ボリビア,,,,,,,,,,,
ベネズエラ,ガイアナ,コロンビア,ブラジル,,,,,,,,,,,
イエメン,オマーン,サウジアラビア,,,,,,,,,,,,
カタール,アラブ首長国連邦,サウジアラビア,,,,,,,,,,,,
クウェート,イラク,サウジアラビア,,,,,,,,,,,,
ネパール,インド,中華人民共和国,,,,,,,,,,,,
バングラデシュ,インド,ミャンマー,,,,,,,,,,,,
ブータン,インド,中華人民共和国,,,,,,,,,,,,
マレーシア,タイ,ブルネイ,,,,,,,,,,,,
モンゴル,中華人民共和国,ロシア,,,,,,,,,,,,
ギニアビサウ,ギニア,セネガル,,,,,,,,,,,,
シエラレオネ,ギニア,リベリア,,,,,,,,,,,,
スワジランド,南アフリカ,モザンビーク,,,,,,,,,,,,
赤道ギニア,ガボン,カメルーン,,,,,,,,,,,,
チュニジア,アルジェリア,リビア,,,,,,,,,,,,
モロッコ,アルジェリア,スペイン,,,,,,,,,,,,
アンドラ,スペイン,フランス,,,,,,,,,,,,
エストニア,ラトビア,ロシア,,,,,,,,,,,,
オランダ,ドイツ,ベルギー,,,,,,,,,,,,
スウェーデン,フィンランド,ノルウェー,,,,,,,,,,,,
モナコ,イタリア,フランス,,,,,,,,,,,,
モルドバ,ウクライナ,ルーマニア,,,,,,,,,,,,
リヒテンシュタイン,オーストリア,スイス,,,,,,,,,,,,
アメリカ,カナダ,メキシコ,,,,,,,,,,,,
エルサルバドル,グアテマラ,ホンジュラス,,,,,,,,,,,,
コスタリカ,ニカラグア,パナマ,,,,,,,,,,,,
ニカラグア,コスタリカ,ホンジュラス,,,,,,,,,,,,
パナマ,コスタリカ,コロンビア,,,,,,,,,,,,
ベリーズ,グアテマラ,メキシコ,,,,,,,,,,,,
ウルグアイ,アルゼンチン,ブラジル,,,,,,,,,,,,
エクアドル,コロンビア,ペルー,,,,,,,,,,,,
キプロス,イギリス,,,,,,,,,,,,,
大韓民国,朝鮮民主主義人民共和国,,,,,,,,,,,,,
東ティモール,インドネシア,,,,,,,,,,,,,
ブルネイ,マレーシア,,,,,,,,,,,,,
ガンビア,セネガル,,,,,,,,,,,,,
レソト,南アフリカ,,,,,,,,,,,,,
アイルランド,イギリス,,,,,,,,,,,,,
サンマリノ,イタリア,,,,,,,,,,,,,
デンマーク,ドイツ,,,,,,,,,,,,,
バチカン,イタリア,,,,,,,,,,,,,
ポルトガル,スペイン,,,,,,,,,,,,,
カナダ,アメリカ,,,,,,,,,,,,,
ドミニカ共和国,ハイチ,,,,,,,,,,,,,
ハイチ,ドミニカ共和国,,,,,,,,,,,,,
パプアニューギニア,インドネシア,,,,,,,,,,,,,
シンガポール,,,,,,,,,,,,,,
スリランカ,,,,,,,,,,,,,,
日本,,,,,,,,,,,,,,
バーレーン,,,,,,,,,,,,,,
フィリピン,,,,,,,,,,,,,,
モルティブ,,,,,,,,,,,,,,
カーボベルデ,,,,,,,,,,,,,,
コモロ,,,,,,,,,,,,,,
サントメ＝プリンシペ,,,,,,,,,,,,,,
セーシェル,,,,,,,,,,,,,,
マダガスカル,,,,,,,,,,,,,,
モーリシャス,,,,,,,,,,,,,,
アイスランド,,,,,,,,,,,,,,
マルタ,,,,,,,,,,,,,,
アンティグア＝バーブーダ,,,,,,,,,,,,,,
キューバ,,,,,,,,,,,,,,
グレナダ,,,,,,,,,,,,,,
ジャマイカ,,,,,,,,,,,,,,
セントキッツ＝ネービス,,,,,,,,,,,,,,
セントビンセント＝グレナディーン,,,,,,,,,,,,,,
セントルシア,,,,,,,,,,,,,,
ドミニカ国,,,,,,,,,,,,,,
トリニダード＝トバゴ,,,,,,,,,,,,,,
バハマ,,,,,,,,,,,,,,
バルバドス,,,,,,,,,,,,,,
オーストラリア,,,,,,,,,,,,,,
キリバス,,,,,,,,,,,,,,
サモア,,,,,,,,,,,,,,
ソロモン諸島,,,,,,,,,,,,,,
ツバル,,,,,,,,,,,,,,
トンガ,,,,,,,,,,,,,,
ナウル,,,,,,,,,,,,,,
ニュージーランド,,,,,,,,,,,,,,
バヌアツ,,,,,,,,,,,,,,
パラオ,,,,,,,,,,,,,,
フィジー,,,,,,,,,,,,,,
マーシャル諸島,,,,,,,,,,,,,,
ミクロネシア,,,,,,,,,,,,,,
